Questions,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,vicuna7b Answer,vicuna13b Answer,vicuna33b Answer,llama7b Answer,llama13b Answer,claude2 Answer,claude-instant Answer,gpt-3.5 Answer,Difficulty,Subject
Find all cosets of the subgroup 4Z of 2Z.,4Z,"4Z, 2 + 4Z",2Z,Z,B,B,B,B,D,C,B,B,B,0,abstract_algebra
Statement 1 | The unity of a subring must be the same as the unity of the ring. Statement 2 | Every field is an integral domain.,"True, True","False, False","True, False","False, True",D,B,B,A,B,B,C,A,A,6,abstract_algebra
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,"True, True","False, False","True, False","False, True",A,B,B,B,B,A,C,C,C,6,abstract_algebra
Which of the following allows gas exchange in the lungs?,Alveoli,Bronchi,Bronchioles,Capillaries,A,A,A,A,D,A,A,A,A,0,anatomy
Which orbital wall is most likely to collapse in a 'blow out' fracture?,The roof,The floor,The lateral wall,The medial wall,B,C,C,C,C,C,D,D,Format Error,6,anatomy
Gastrulation is the process of,mesoderm formation and occurs after neurulation.,ectomesenchyme formation and occurs before neurulation.,mesoderm formation and occurs before neurulation.,ectomesenchyme formation and occurs after neurulation.,B,C,A,C,A,A,C,C,A,6,anatomy
Earth has been gradually warming over the past few decades. Based on a great deal of evidence scientists conclude that this warming is caused by ________.,human activities that are increasing the concentration of greenhouse gases in Earth's atmosphere,the fact that our politicians spout a lot of hot air,the human release of chemicals called CFCs into the stratosphere,the increase in forest fires during recent years,A,A,A,A,A,A,A,A,A,0,astronomy
Why is Saturn almost as big as Jupiter despite its smaller mass?,Jupiter's greater mass compresses it more thus increasing its density.,Saturn has a larger proportion of hydrogen and helium than Jupiter and is therefore less dense.,Saturn is further from the Sun thus cooler and therefore less compact.,Saturn's rings make the planet look bigger.,A,B,B,B,B,B,B,B,Format Error,6,astronomy
What is the significance of the 1:2:4 resonance in the Jupiter's moons system?,The resonance pulls Io in different directions and generates heat.,It makes the orbit of Io slightly elliptical.,It creates a gap with no asteriods between the orbits.,It prevents formation of the ring material into other moons.,B,A,A,A,B,A,A,A,A,6,astronomy
"There are a number of means by which can influence _______. These include _________to decision maker, varying from very direct modes to indirect modes, _________, being either public or private and ________ of communication.","Government, Avenue of approach, Breadth of transmission, Content","Consumers, Avenue of approach, Height of transmission, Content","Government, Breath of transmission, Avenue of approach, Content","Employees, Breadth of transmission, Content, Avenue of approach",A,A,A,A,A,A,A,A,A,0,business_ethics
They are too irrational and uncodified.,"3,4","1,3","2,3","4,1",B,D,D,A,D,A,A,Format Error,Format Error,6,business_ethics
"The so-called BRIC countries (Brazil, Russia, India and _______) tend to follow a __________ approach to corporate governance. However, recently this has tended to move towards more _______-based mechanisms.","Canada, Market, Relationship","China, Market, Relationship","Canada, Relationship, Market","China, Relationship, Market",D,B,B,B,B,C,B,B,B,6,business_ethics
Mutations are errors in DNA that:,are always harmful.,only occur in the presence of carcinogens.,increase tumour growth.,occur spontaneously at a low rate.,D,D,D,D,D,D,D,D,D,0,clinical_knowledge
